,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tests,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,decay rate,,,,Element Durability per Gauge unit,,FPS freeze extension test,,,,,,,Data for Plot,,,,,,,
,,,1A,,,,9.50,,,,25.00,,30,,,,,,,,,,,,,,
,,,2B,,,,6.00,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1A,,,,2B,,,
,Freeze start [s:frame],[s],attack GU,,Remaining hydro GU,,unfreeze [s:frame],[s],Time since last freeze [s],,time unfrozen [s],Time since first freeze [s],t_decay [s],expected initial freeze duration [e_d],expected freeze duration [s],expected freeze duration C1 [s],Actual freeze duration [s],Note,,t_decay [s],expected freeze duration [s],expected freeze duration C1 [s],Actual freeze duration [s],t_decay [s],expected freeze duration [s],expected freeze duration C1 [s],Actual freeze duration [s]
,Video,,https://youtu.be/RyFiu694jb4,,,,,,,,,,,,,,,,,1.47,2.89,3.33,1.47,1.13,5.18,5.96,5.00
,Enemy 1,,,,,,,,,,,,,,expected freeze duration [s],expected freeze duration C1 [s],Actual freeze duration [s],,,3.00,2.43,2.80,3.00,1.73,4.89,5.62,4.27
,Leftmost slime,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.13,3.43,1A,,,,6.25,6.83,0,,,0.00,3.40,50,2.33,2.68,3.40,,,,,,,,,,
,7.16,7.53,1A,,,,10.01,10.03,4.10,,0.70,4.10,1.10,50,3.02,3.48,2.50,,,,,,,,,,
,11.17,11.57,1A,,,,14.03,14.10,4.03,,1.53,8.13,0.00,50,3.48,4.01,2.53,,,,,,,,,,
,14.24,14.80,2B,,,,18.23,18.77,3.23,,0.70,11.37,2.57,100,4.53,5.21,3.97,,,,,,,,,,
,middle slime,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.13,3.43,1A,,,,6.24,6.80,0,,,0.00,3.37,50,2.34,2.69,3.37,,,,,,,,,,
,7.16,7.53,1A,,,,10.10,10.33,4.10,,0.73,4.10,1.33,50,2.94,3.38,2.80,,,,,,,,,,
,11.17,11.57,1A,,,,14.03,14.10,4.03,,1.23,8.13,0.07,50,3.45,3.97,2.53,,,,,,,,,,
,rightmost slime,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.16,5.53,2B,,,,,,0,,,0.00,4.00,100,4.00,4.60,4.00,,,,,,,,,,
,9.16,9.53,1A,,,,11.23,11.77,4.00,,,4.00,2.23,50,2.65,3.04,2.23,,,,,,,,,,
,13.18,13.60,1A,,,,15.29,15.97,4.07,,1.83,8.07,0.00,50,3.48,4.01,2.37,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Does C1 even work for freeze tests (single freeze tests),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Range min,Range avg,freeze w/o burst,freeze right after burst,"burst, pop, freeze",churls freeze right after burst,,
,Freeze A1 w/o Mona Burst,,,,,,https://youtu.be/QCTUM34BzjA,,,,FPS: 60,,,,,,,,,3.41,3.415,1,0,0,0,,
,Freeze start [s:frame],[s],unfreeze [s:frame],[s],,,expected initial freeze duration [e_d],,expected freeze duration [s],,expected freeze duration C1 [s],Actual freeze duration [s],Note,,,,,,,3.42,3.425,0,0,0,0,,
,4.47,4.78,8.13,8.22,,,50,,3.48,,4.01,3.43,"Clip 1, left slime",,,,,,,3.43,3.435,4,0,1,0,,
,4.47,4.78,8.13,8.22,,,50,,3.48,,4.01,3.43,"Clip 1, slime behind Kaeya",,,,,,,3.44,3.445,0,1,0,0,,
,12.04,12.07,15.32,15.53,,,50,,3.48,,4.01,3.47,"Clip 2, middle slime",,,,,,,3.45,3.455,1,1,2,0,,
,12.04,12.07,15.32,15.53,,,50,,3.48,,4.01,3.47,"Clip 2, left slime",,,,,,,3.46,3.465,3,4,3,3,,
,14.47,14.78,18.20,18.33,,,50,,3.48,,4.01,3.55,"Clip 2, right slime",,,,,,,3.47,3.475,0,0,0,0,,
,21.58,21.97,25.24,25.40,,,50,,3.48,,4.01,3.43,"Clip 3, left slime",,,,,,,3.48,3.485,1,3,2,0,,
,21.58,21.97,25.24,25.40,,,50,,3.48,,4.01,3.43,"Clip 3, middle slime",,,,,,,3.49,3.495,0,2,0,0,,
,21.58,21.97,25.29,25.48,,,50,,3.48,,4.01,3.52,"Clip 3, right slime",,,,,,,3.5,3.505,0,1,2,1,,
,31.00,31.00,34.31,34.52,,,50,,3.48,,4.01,3.52,"Clip 4, left slime",,,,,,,3.51,3.515,4,1,3,0,,
,31.00,31.00,34.28,34.47,,,50,,3.48,,4.01,3.47,"Clip 4, middle slime",,,,,,,3.52,3.525,0,0,0,0,,
,31.00,31.00,34.31,34.52,,,50,,3.48,,4.01,3.52,"Clip 4, right slime",,,,,,,3.53,3.535,0,1,0,0,,
,39.08,39.13,42.35,42.58,,,50,,3.48,,4.01,3.45,"Clip 5, left slime",,,,,,,3.54,3.545,0,0,0,0,,
,39.04,39.07,42.33,42.55,,,50,,3.48,,4.01,3.48,"Clip 5, middle slime",,,,,,,3.55,3.555,1,1,0,0,,
,39.04,39.07,42.35,42.58,,,50,,3.48,,4.01,3.52,"Clip 5, right slime",,,,,,,3.56,3.565,0,0,0,0,,
,,,,,,,,,,,Arithmethic Mean,3.48,,,,,,,,3.57,3.575,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,3.58,3.585,0,0,0,0,,
,Freeze A1 right after Mona Burst,,,,,,https://youtu.be/biQeyUPc47g,,,,FPS: 60,,,,,,,,,3.59,3.595,0,0,0,0,,
,Omen hit [s:frame],[s],Freeze start [s:frame],[s],unfreeze [s:frame],[s],unfreeze [s:frame],[s],expected initial freeze duration [e_d],,expected freeze duration [s],expected freeze duration C1 [s],,Actual freeze duration [s],Note,,,,,3.6,3.605,0,0,0,2,,
,6.22,6.37,8.04,8.07,,,11.33,11.55,50,,3.48,4.01,,3.48,"Clip 1, left slime",,,,,3.61,3.615,0,0,0,0,,
,6.22,6.37,8.04,8.07,,,11.33,11.55,50,,3.48,4.01,,3.48,"Clip 1, middle slime",,,,,,,,,,,,
,6.22,6.37,8.04,8.07,,,11.33,11.55,50,,3.48,4.01,,3.48,"Clip 1, right slime",,,,,,,,,,,,
,24.36,24.60,27.38,27.63,,,31.08,31.13,50,,3.48,4.01,,3.50,"Clip 2, left slime",,,,,,,,,,,,
,24.36,24.60,27.38,27.63,,,31.06,31.10,50,,3.48,4.01,,3.47,"Clip 2, middle slime",,,,,,,,,,,,
,24.36,24.60,29.28,29.47,,,32.59,32.98,50,,3.48,4.01,,3.52,"Clip 2, right slime",,,,,,,,,,,,
,39.51,39.85,42.53,42.88,,,46.21,46.35,50,,3.48,4.01,,3.47,"Clip 3, left slime",,,,,,,,,,,,
,39.51,39.85,42.53,42.88,,,46.21,46.35,50,,3.48,4.01,,3.47,"Clip 3, front slime",,,,,,,,,,,,
,39.51,39.85,46.30,46.50,,,49.57,49.95,50,,3.48,4.01,,3.45,"Clip 3, right slime",,,,,,,,,,,,
,57.00,57.00,61.27,61.45,,,65.00,65.00,50,,3.48,4.01,,3.55,"Clip 4, left slime",,,,,,,,,,,,
,57.00,57.00,59.52,59.87,,,63.24,63.40,50,,3.48,4.01,,3.53,"Clip 4, middle slime",,,,,,,,,,,,
,57.00,57.00,59.00,59.00,,,62.28,62.47,50,,3.48,4.01,,3.47,"Clip 4, right slime",,,,,,,,,,,,
,70.23,70.38,72.06,72.10,,,75.36,75.60,50,,3.48,4.01,,3.50,"Clip 5, left slime",,,,,,,,,,,,
,70.23,70.38,72.06,72.10,,,75.33,75.55,50,,3.48,4.01,,3.45,"Clip 5, middle slime",,,,,,,,,,,,
,70.23,70.38,72.06,72.10,,,75.36,75.60,50,,3.48,4.01,,3.50,"Clip 5, right slime",,,,,,,,,,,,
,,,,,,,,,,,,Arithmethic Mean,,3.49,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Freeze A1 after popping Bubble,,,,,,https://youtu.be/7kNU1tyWPuw,,,,FPS: 60,,,,,,,,,,,,,,,,
,Omen hit [s:frame],[s],Bubble pop [s:frame],[s],unfreeze [s:frame],[s],Freeze start [s:frame],[s],unfreeze [s:frame],[s],expected initial freeze duration [e_d],expected freeze duration [s],,expected freeze duration C1 [s],Actual freeze duration [s],Note,,,,,,,,,,,
,5.26,5.43,6.27,6.45,,,9.54,9.90,13.24,13.40,50.00,3.48,,4.01,3.50,"Clip 1, left slime",,,,,,,,,,,
,5.26,5.43,6.27,6.45,,,9.54,9.90,13.24,13.40,50.00,3.48,,4.01,3.50,"Clip 1, front slime",,,,,,,,,,,
,21.40,21.67,22.51,22.85,,,25.04,25.07,28.31,28.52,50.00,3.48,,4.01,3.45,"Clip 2, left slime",,,,,,,,,,,
,21.40,21.67,22.51,22.85,,,25.04,25.07,28.28,28.47,50.00,3.48,,4.01,3.40,"Clip 2, middle slime",,,,,,,,,,,
,21.42,21.70,22.51,22.85,,,25.04,25.07,28.31,28.52,50.00,3.48,,4.01,3.45,"Clip 2, right slime",,,,,,,,,,,
,35.18,35.30,37.35,37.58,,,39.15,39.25,42.46,42.77,50.00,3.48,,4.01,3.52,"Clip 3, left slime",,,,,,,,,,,
,35.18,35.30,36.15,36.25,,,39.15,39.25,42.46,42.77,50.00,3.48,,4.01,3.52,"Clip 3, middle slime",,,,,,,,,,,
,35.18,35.30,37.35,37.58,,,39.15,39.25,42.46,42.77,50.00,3.48,,4.01,3.52,"Clip 3, right slime",,,,,,,,,,,
,46.35,46.58,47.47,47.78,,,49.41,49.68,53.10,53.17,50.00,3.48,,4.01,3.48,"Clip 4, left slime",,,,,,,,,,,
,46.35,46.58,47.47,47.78,,,49.41,49.68,53.07,53.12,50.00,3.48,,4.01,3.43,"Clip 4, middle slime",,,,,,,,,,,
